siRNA ID,Catalog Number,Gene Symbol,Gene Name,Alias,RefSeq,GenBank mRNA,Product Family,siRNA Type,Availability,siRNA Assay,Matched Keywords,,,,
s11820,4390824,RASA1,RAS p21 protein activator 1,CM-AVM;CMAVM;GAP;PKWS;RASA;RASGAP;p120;p120GAP;p120RASGAP,XM_011543525.1;XM_011543527.2;NM_022650.2;NM_002890.2,AK300263.1;CR749722.1;BC033015.2;AK312739.1;M23612.1;M23379.1;AB209106.1;BC020761.1;BC054891.1;BC107870.1;AK300406.1;AK300269.1,,Silencer® Select,Inventoried,,*,,,,
s224099,4390824,NDUFB2,NADH:ubiquinone oxidoreductase subunit B2,AGGG;CI-AGGG,NM_004546.2,AF050639.1;BC001168.1;BC063026.1;AF067166.1,,Silencer® Select,Inventoried,,*,,,,
s3031,4390824,CHRM4,cholinergic receptor muscarinic 4,HM4;M4R,NM_000741.3,BC095546.1;BC119817.1;BC119775.1;AF498918.1;BC137535.1;AF385590.1,,Silencer® Select,Inventoried,,*,,,,
s8386,4390824,MARCKS,myristoylated alanine rich protein kinase C substrate,80K-L;MACS;PKCSL;PRKCSL,NM_002356.6,D10522.1;BC089040.1;AK074526.1,,Silencer® Select,Inventoried,,*,,,,
s24034,4390824,ADAT1,adenosine deaminase, tRNA specific 1,HADAT1,NM_001324445.1;NM_001324446.1;NM_001324452.1;NM_001324444.1;NM_012091.4,AK296834.1;BC002758.2;AF125188.1;AK001687.1;AK314652.1,,Silencer® Select,Inventoried,,*,,,
s8190,4390824,LIMK1,LIM domain kinase 1,LIMK;LIMK-1,NM_002314.3;NM_001204426.1,AK290162.1;AK300382.1;AF134379.1;AB209557.1;D26309.1,,Silencer® Select,Inventoried,,*,,,,
s1382,4390824,ANXA1,annexin A1,ANX1;LPC1,NM_000700.2;XM_017014657.1;XM_011518609.1,AB451274.1;AB451401.1;BC035993.1;X05908.1;CR407684.1;BT019896.1;AK296808.1;BC001275.1;AK074480.1;BT019916.1;BT019917.1,,Silencer® Select,Inventoried,,*,,,,
s982,4390824,ACVR2A,activin A receptor type 2A,ACTRII;ACVR2,NM_001278580.1;NM_001278579.1;NM_001616.4,X63128.1;D31770.1;BC069707.1;X62381.1;BC067417.1;BC067418.1;AK301629.1;AK314124.1;M93415.1,,Silencer® Select,Inventoried,,*,,,,
s1573,4390824,ARG2,arginase 2,,NM_001172.3,CR536550.1;U75667.1;U82256.1;BC001350.1;AY074489.1;BC029050.1;D86724.1;BC008464.1;AK312484.1,,Silencer® Select,Inventoried,,*,,,,
s15995,4390824,STK24,serine/threonine kinase 24,HEL-S-95;MST3;MST3B;STE20;STK3,XM_017020794.1;XM_005254079.4;XM_017020795.1;NM_001032296.3;NM_003576.4,EU668350.1;AF083420.1;BC065378.1;BC035578.1;BT019619.1;AF024636.1;AF339826.1;AK297583.1;CR542227.1,,Silencer® Select,Inventoried,,*,,,,
s10480,4390824,SERPINB9,serpin family B member 9,CAP-3;CAP3;PI-9;PI9,XM_005249184.4;NM_004155.5,BC002538.2;L40378.1;AK314842.1;CR407627.1;BT006673.1;CN255302.1;U71364.1;AB060690.1,,Silencer® Select,Inventoried,,*,,,,
s20944,4390824,PMVK,phosphomevalonate kinase,HUMPMKI;PMK;PMKA;PMKASE;POROK1,NM_001323012.1;NM_001323011.1;NM_006556.3,AK312803.1;L77213.1;AK130234.1;BT019976.1;BC007694.2;BQ061044.1;BC006089.1;CR541998.1,,Silencer® Select,Inventoried,,*,,,,
